chat,pisică
chien,câine
maison,casă
arbre,copac
fleur,floare
soleil,soare
lune,lună
étoile,stea
mer,mare
montagne,munte
rivière,râu
lac,lac
oiseau,pasăre
poisson,pește
cheval,cal
vache,vacă
cochon,porc
mouton,oaie
poule,găină
pomme,măr
banane,banană
orange,portocală
citron,lămâie
fraise,căpșună
tomate,roșie
carotte,morcov
pain,pâine
fromage,brânză
beurre,unt
œuf,ou
viande,carne
poivre,piper
sel,sare
eau,apă
vin,vin
bière,bere
thé,ceai
café,cafea
sucre,zahăr
farine,făină
riz,orez
pâtes,paste
huile,ulei
lait,lapte
jus,suc
yaourt,iaurt
pomme de terre,cartof
salade,salată
poire,pară
avocat,avocado
framboise,zmeură
cerise,cireașă
ananas,ananas
grenade,rodie
abricot,caisă
kiwi,kiwi
prune,prună
raisin,strugure
mandarine,mandarină
noix,nucă
noisette,alună
amande,migdală
noix de coco,nucă de cocos
mûre,mure
pêche,piersică
figue,smochină
